Title,Authors,DOI,DOI link,Venue,Citation count,Year,Population Age,"Reasoning for ""Population Age""",Alcohol Reduction,"Reasoning for ""Alcohol Reduction""",Outcome Measurement,"Reasoning for ""Outcome Measurement""",Study Design,"Reasoning for ""Study Design""",Follow-up Duration,"Reasoning for ""Follow-up Duration""",Population Type,"Reasoning for ""Population Type""",Intervention Isolation,"Reasoning for ""Intervention Isolation""",Study Timeline,"Reasoning for ""Study Timeline""",Screening judgement,"Reasoning for ""Screening judgement""",Screening score
Short‐ and medium‐term effects of light to moderate alcohol intake on glycaemic control in diabetes mellitus: a systematic review and meta‐analysis of randomized trials,"J. Hirst, J. Aronson, B. Feakins, C. Ma, A. Farmer, R. Stevens",10.1111/dme.13259,https://doi.org/10.1111/dme.13259,Diabetic Medicine,20,2017,no,"The abstract does not specify the participant age ranges, so it is not possible to determine if all participants were 18 or older.",no,The abstract does not indicate whether it studies voluntary reduction in alcohol consumption or includes baseline and follow-up measurements.,no,The abstract does not mention measuring well-being or life satisfaction. It appears to focus on hypoglycemia risk instead.,no,The abstract does not specify the study design methodology.,no,No information about follow-up duration is provided in the abstract.,no,"The abstract mentions ""people with diabetes,"" which indicates this is not a general population study but rather focuses on a specific medical condition group.",maybe,"While alcohol consumption is mentioned, it is unclear if it is studied in isolation or as part of other interventions.",no,The abstract does not specify if this is a longitudinal study or its temporal nature.,Exclude,"The abstract focuses on people with diabetes and alcohol consumption, which immediately disqualifies it from meeting the general population requirement. Insufficient details are provided to assess most screening criteria, and the study appears to examine hypoglycemia risk rather than well-being or life satisfaction outcomes. Multiple critical screening criteria are either unmet or cannot be verified based on the limited information presented.",0.1
Self-stigma in alcohol dependence scale: development and validity of the short form,"Sophia Rieckhof, Anya Leonhard, Stephanie Schindler, Juliane Lüders, Nicole Tschentscher, S. Speerforck, Patrick W. Corrigan, Georg Schomerus",10.1186/s12888-024-06187-z,https://doi.org/10.1186/s12888-024-06187-z,BMC Psychiatry,1,2024,maybe,"The abstract does not specify the participant age ranges, so it is uncertain whether all study participants were aged 18 or older.",no,"There is no mention of alcohol reduction or consumption changes, as the study focuses on measuring self-stigma.",no,"The study focuses on measuring self-stigma using the SSAD-SF instrument, but does not measure well-being or life satisfaction using validated instruments.",no,"The abstract suggests this is a validation study of a measurement tool, not a randomized controlled trial, quasi-experimental study, or prospective cohort study.",no,"There is no mention of a follow-up period, and the study appears to be a cross-sectional validation study.",no,"The study specifically focuses on people with alcohol use disorder (AUD), not the general population.",no,"This appears to be a measurement validation study, not an intervention study, so it does not examine alcohol reduction in isolation or analyze it separately from other lifestyle interventions.",no,"There is no indication of longitudinal measurement, and the study appears to be a cross-sectional validation study.",Exclude,"The abstract describes a measurement validation study focused on self-stigma in alcohol use disorder patients, which fundamentally differs from the specified screening criteria. Multiple key requirements are not met, including population type, study design, intervention focus, and outcome measurements. The research does not align with the predefined screening parameters for alcohol reduction and well-being studies.",0.1
Awareness and correlates of short‐term and long‐term consequences of alcohol use among Australian drinkers,"K. Coomber, Richelle Mayshak, Ashlee Curtis, P. Miller",10.1111/1753-6405.12634,https://doi.org/10.1111/1753-6405.12634,Australian and New Zealand Journal of Public Health,24,2017,maybe,"The abstract mentions ""Australian adult drinkers"" which suggests participants are 18 or older, but this is not explicitly confirmed.",no,The study doesn't examine alcohol reduction - it focuses on awareness of consequences.,no,The study appears to focus on awareness of alcohol consequences rather than measuring well-being or life satisfaction. There is no mention of validated instruments for measuring well-being.,no,"The abstract doesn't specify the study design. Given it's investigating awareness, it's likely a cross-sectional survey rather than an experimental or cohort study.",no,No follow-up period is mentioned as this appears to be a cross-sectional study.,yes,"The study appears to include general adult drinkers, not specifically those with alcohol use disorder.",no,The study doesn't appear to examine alcohol reduction interventions at all - it focuses on awareness of consequences.,no,The study appears to be cross-sectional rather than longitudinal.,Exclude,"The study focuses on awareness of alcohol consequences among Australian adult drinkers, which fundamentally differs from the required screening criteria involving alcohol reduction interventions and well-being measurements. Multiple key criteria are not met, including intervention isolation, outcome measurement, study design, and longitudinal follow-up, rendering the study non-compliant with the specified screening requirements.",0.1
Decreased alcohol consumption in outpatient drinkers is associated with improved quality of life and fewer alcohol-related consequences.,"K. Kraemer, S. Maisto, J. Conigliaro, M. McNeil, A. Gordon, M. Kelley",10.1046/J.1525-1497.2002.10613.X,https://doi.org/10.1046/J.1525-1497.2002.10613.X,-,36,2002,maybe,"The abstract does not explicitly state the participant age ranges, but since it is an ""outpatient sample of drinkers"" in a primary care setting, it is likely that the participants are adults, though this cannot be confirmed without more information.",yes,"The study examines changes in alcohol consumption with measurements at baseline and follow-up, though it's not explicitly stated if the reduction was voluntary.",yes,"The study uses the SF-36 Health Survey, which is a validated instrument measuring quality of life, including physical and mental components.",yes,"This appears to be a prospective cohort study with measurements at baseline, 6 months, and 12 months.",yes,"The study includes 6-month and 12-month follow-ups, which falls within the 24 hours to 6 months criterion.",maybe,"While it's an outpatient sample, it is unclear if these are general population drinkers or those with alcohol use disorder. The mention of ""alcohol screening and intervention"" suggests these might be problem drinkers.",yes,The study appears to focus specifically on alcohol consumption changes without mention of other lifestyle interventions.,yes,The study is clearly longitudinal with measurements over 12 months.,Include,"A prospective cohort study examining alcohol consumption changes using validated quality of life instruments, with measurements at baseline, 6, and 12 months. While the study demonstrates strong methodological elements, key uncertainties exist regarding participant age range and population type, which prevent definitive screening criteria confirmation. The research provides insights into alcohol reduction's potential impacts on well-being, though population characteristics remain ambiguous.",3
"Proceedings of the 14th annual conference of INEBRIA: New York, NY, USA, September 14–15, 2017 Please share how this access benefits you. Your story matters","Aisha S Holloway, Jennifer Ferguson, Sarah Landale, Laura A. Cariola, D. Newbury-Birch, A. Flynn, J. Knight, Lon Sherritt, S. Harris, A. O'Donnell, E. Kaner, B. Hanratty, Amy M. Loree, K. Yonkers, S. Ondersma, Kate Gilstead‑Hayden, Steve Martino, A. Adam, R. Schwartz, Li-Tzy Wu, Geetha Subramaniam, G. Sharma, J. McNeely, A. H. Berman, Karoline Kolaas, Elisabeth Petersén, P. Bendtsen, E. Hedman, Catharina Linderoth, U. Müssener, K. Sinadinovic, F. Spak, Ida Gremyr, Anna Thurang, A. Mitchell, D. Finnell, Christine L. Savage, K. Mahmoud, Benjamin C. Riordan, Tamlin S. Conner, Jayde A. M. Flett, D. Scarf, B. McRee, J. Vendetti, Karen Steinberg Gallucci, K. Robaina, B. Clark, Jacqueline Jones, Kathryne D. Reed, Rachel M. Hodapp, I. Douglas, E. Burnham, Laura Aagaard, P. Cook, B. Harris, Jiang Yu, M. Wolff, M. Rogers, C. Barbosa, Brendan J. Wedehase, L. Dunlap, S. Mitchell, Kristi Dusek, J. Gryczynski, Arethusa S. Kirk, Marla T. Oros, C. Hosler, K. O’grady, B. S. Brown, C. Angus, Sidney Sherborne, D. Gillespie, P. Meier, A. Brennan, Divane de Vargas, Janaina Soares, Donna G. Castelblanco, K. Doran, I. Wittman, D. Shelley, J. Rotrosen, L. Gelberg, E. J. Edelman, S. Maisto, N. Hansen, C. Cutter, Yanhong Deng, J. Dziura, L. Fiellin, P. O'Connor, R. Bedimo, C. Gibert, V. Marconi, D. Rimland, M. Rodriguez‐Barradas, M. Simberkoff, A. Justice, K. Bryant, D. Fiellin, E. Giles, S. Coulton, P. Deluca, C. Drummond, D. Howel, E. McColl, R. McGovern, S. Scott, E. Stamp, H. Sumnall, L. Vale, Viviana Alabani, A. Atkinson, S. Boniface, J. Frankham, E. Gilvarry, N. Hendrie, N. Howe, G. McGeechan, Amy Ramsey, G. Stanley, Justine Clephane, D. Gardiner, J. Holmes, N. Martin, Colin Shevills, Melanie Soutar, F. Chi, Constance Weisner, T. Ross, J. Mertens, S. Sterling, G. Shorter, N. Heather, J. Bray, Hildie A. Cohen, Tracy L. Mcpherson, Cyrille Adam, H. López-Pelayo, A. Gual, Lidia Segura-García, J. Colom, India J. Ornelas, S. Doyle, D. Donovan, B. Duran, Vanessa N. Torres, J. Gaume, V. Grazioli, C. Fortini, S. Paroz, N. Bertholet, J. Daeppen, Jason M. Satterfield, S. Gregorich, Nicholas Alvarado, Ricardo Muñoz, G. Kulieva, M. Vijayaraghavan, A. Adam, J. Cunningham, Estela Díaz, Jorge Palacio-Vieira, A. Godinho, Vladyslav Kushir, K. O’Brien, L. Aguinaldo, Christina M. Sellers, A. Spirito, Grace Chang, Tiffany L. Blake-Lamb, L. A. LaFave, K. Thies, Amy L. Pepin, Kara E. Sprangers, M. Bradley, Shasta Jorgensen, Nico A. Catano, Adelaide R. Murray, D. Schachter, R. Andersen, Guillermina Natera Rey, Mani Vahidi, M. Rico, S. Baumeister, Magnus Johansson, Christina Sinadinovic, U. Hermansson, S. Andréasson, Megan A. O’Grady, S. Kapoor, Chérine Akkari, Camila Bernal, K. Pappacena, J. Morley, M. Auerbach, C. Neighbors, Nancy Kwon, J. Conigliaro, J. Morgenstern, M. Magill, T. Apodaca, Brian Borsari, Ariel Hoadley, J. Scott Tonigan, T. Moyers, N. Fitzgerald, Lisa Schölin, Nicolas A. Barticevic, Soledad M. Zuzulich, Fernando Poblete, Pablo Norambuena, P. Sacco, Laura Ting, M. Beaulieu, Paul Wallace, M. Andrews, K. Daley, Don Shenker, Louise Gallagher, Rod Watson, Tim Weaver, P. Bruguera, C. Oliveras, C. Gavotti, P. Barrio, F. Braddick, L. Miquel, M. Suárez, Carla Bruguera, Richard L. Brown, J. Capell, D. Paul Moberg, J. Maslowsky, L. Saunders, R. McCormack, Joy D. Scheidell, Mirelis Gonzalez, S. Bauroth, Weiwei Liu, Dawn L. Lindsay, Piper Lincoln, H. Hagle, Sara Wallhed Finn, A. Hammarberg, S. Andréasson, S. E. King, R. Vargo, Brayden N. Kameg, Shauna P. Acquavita, R. A. Van Loon, Rachel Smith, B. Brehm, T. Diers, Karissa Kim, Andrea Barker, Ashley L. Jones, A. Skinner, Agatha Hinman, D. Svikis, Casey L. Thacker, K. Resnicow, Jessica R Beatty, J. Janisse, K. Puder, Ann-Sofie Bakshi, J. Milward, A. Kimergård, C. Garnett, David Crane, Jamie Brown, R. West, S. Michie, Ingvar Rosendahl, Claes Andersson, Mikael Gajecki, M. Blankers, K. Donoghue, Ellen Lynch, I. Maconochie, C. Phillips, R. Pockett, T. Phillips, R. Patton, I. Russell, J. Strang, M. Stewart, Amity E Quinn, Mary F Brolin, Brooke Evans, C. Horgan, Junqing Liu, Fern McCree, Doug Kanovsky, Tyler Oberlander, Huan Zhang, Ben Hamlin, R. Saunders, M. Barton, S. Scholle, P. Santora, Chirag Bhatt, Kazi Ahmed, D. Hodgkin, Wenwu Gao, E. Merrick, C. Drebing, M. Larson, Monica Sharma, N. Petry, R. Saitz, C. Weisner, K. Young-Wolff, Wendy Y. Lu, J. Blosnich, K. Lehavot, Joseph E. Glass, E. Williams, Kara M K Bensley, G. Chan, Julie Dombrowski, J. Fortney, Anna D. Rubinsky, Gwen T Lapham, Ariadna Forray, Todd A Olmstead, Kathryn Gilstad-Hayden, T. Kershaw, Pamela Dillon, M. Weaver, E. Grekin, J. Ellis, L. McGoron",-,-,-,5,2017,no,"The abstract appears to discuss multiple studies, including one with 12-18 year olds, which clearly fails to meet the age criterion of 18 or older.",maybe,"While alcohol reduction is discussed, it's not clear if this is voluntary reduction with baseline and follow-up measurements. The studies appear to focus more on screening and brief interventions.",no,The abstract doesn't clearly indicate measurement of well-being or life satisfaction. It focuses more on alcohol consumption and perceived risk of harm.,yes,"The abstract mentions a quasi-experimental trial, which meets this criterion.",yes,"The abstract mentions 3-month follow-up periods, which falls within the 24 hours to 6 months range, meeting this criterion.",yes,"The studies appear to include general population participants (prisoners, primary care patients) rather than those exclusively with alcohol use disorder, meeting this criterion.",yes,"The interventions described appear to focus on alcohol screening and brief interventions (ABI) in isolation, so this criterion is met.",yes,"The studies appear to be longitudinal with follow-up periods, meeting this criterion.",Exclude,"The study includes participants under 18 years old, which immediately disqualifies it from meeting the age requirement. While the research explores alcohol interventions and screening, it lacks clear measurement of well-being or life satisfaction, and does not demonstrate voluntary alcohol reduction with comprehensive baseline and follow-up measurements. The mixed population and intervention design further complicate its alignment with the specified screening criteria.",0.5
Chat-Based Instant Messaging Support Reduces Alcohol Use in University Students.,Karen Rosenberg,10.1097/01.NAJ.0001025660.41912.5f,https://doi.org/10.1097/01.NAJ.0001025660.41912.5f,The American Journal of Nursing,0,2024,no,Elicit was unable to assess the population age criterion because the provided abstract did not contain any information about the study participants' ages.,no,Elicit was unable to assess the alcohol reduction criterion because the provided abstract did not contain any information about the study's approach to alcohol reduction or whether it examined voluntary reduction with baseline and follow-up measurements.,no,Elicit was unable to assess the outcome measurement criterion because the provided abstract did not contain any information about the study's outcome measurements or the use of validated instruments.,no,Elicit was unable to assess the study design criterion because the provided abstract did not contain any information about the study's design.,no,Elicit was unable to assess the follow-up duration criterion because the provided abstract did not contain any information about the study's follow-up period.,no,Elicit was unable to assess the population type criterion because the provided abstract did not contain any information about the study's participant population.,no,Elicit was unable to assess the intervention isolation criterion because the provided abstract did not contain any information about the study's intervention or whether alcohol reduction was studied in isolation.,no,Elicit was unable to assess the study timeline criterion because the provided abstract did not contain any information about the study's timeline or whether it was longitudinal.,Exclude,"No substantive information is available to assess the screening criteria, rendering it impossible to determine the study's eligibility. The single phrase ""According to this study"" provides insufficient detail to evaluate population characteristics, intervention details, study design, or any other required screening elements. Consequently, no meaningful screening determination can be made.",0.1
Prospective associations between alcohol consumption and psychological well-being in midlife,"M. Grønkjær, C. L. Wimmelmann, Erik Lykke Mortensen, T. Flensborg-Madsen",10.1186/s12889-021-12463-4,https://doi.org/10.1186/s12889-021-12463-4,BMC Public Health,7,2021,yes,"The study focuses on ""middle-aged"" individuals, which implies participants are 18 or older.",no,"The study examines associations between different levels of alcohol consumption (abstinence, moderate, heavy) but does not specifically study voluntary reduction in alcohol consumption.",yes,"The study measures ""psychological well-being"" including ""satisfaction with life and vitality."" While the abstract doesn't explicitly state these are validated instruments, these are standard well-being measures commonly validated in research.",yes,This is a prospective cohort study with baseline measurements in 2004/2006 and follow-up in 2009-2011.,yes,"The follow-up period (approximately 3-5 years) falls within the 24 hours to 6 months criterion, though it's at the longer end.",yes,"The study uses participants from the Copenhagen Aging and Midlife Biobank, which appears to be a general population sample, not specifically those with alcohol use disorder.",no,"This is an observational study examining associations between alcohol consumption and well-being, not an intervention study. The study looks at natural patterns of consumption rather than controlled reduction.",yes,"The study is clearly longitudinal, with measurements at baseline and follow-up.",Exclude,"A prospective cohort study examining alcohol consumption and psychological well-being in middle-aged individuals meets most screening criteria, including appropriate population age, outcome measurement, and study design. However, the research fails to meet critical requirements related to alcohol reduction intervention, as it observes natural consumption patterns rather than studying voluntary alcohol reduction. Consequently, the study does not align with the specific screening criteria for intervention-focused research.",0.9
About smoke and mirrors: the alcohol industry and the promotion of science.,R. Caetano,10.1111/j.1360-0443.2007.02104.x,https://doi.org/10.1111/j.1360-0443.2007.02104.x,Addiction,20,2008,no,"The abstract does not specify the age ranges of the study participants, so it cannot be confirmed that all participants were aged 18 or older.",no,"While alcohol consumption is discussed, there is no measurement of voluntary reduction in alcohol consumption, and no baseline or follow-up measurements are described.",no,The paper does not mention any measurements of well-being or life satisfaction using validated instruments.,no,"This is an editorial/commentary piece, not a primary research study, and does not employ any of the required study designs (RCT, quasi-experimental, or prospective cohort).",no,"No follow-up period is described, as this is not a longitudinal study.",no,"The paper discusses alcohol policy broadly rather than studying a specific population, so it does not include participants from the general population.",no,The paper discusses alcohol interventions broadly but does not examine alcohol reduction in isolation or analyze it separately from other lifestyle interventions.,no,"This is not a longitudinal study, and no temporal measurements are described.",Exclude,"This editorial commentary fails to meet any of the specified screening criteria, as it is not a primary research study and lacks the required methodological elements such as participant age verification, outcome measurements, intervention isolation, and longitudinal design. The text discusses alcohol policy and industry involvement but does not provide the structured research approach needed to satisfy the systematic review's inclusion requirements.",0.1
Alcohol,P. Alpert,10.1177/1084822311429564,https://doi.org/10.1177/1084822311429564,-,156,2012,no,"No information was provided about the age of the study participants, so it cannot be determined if all participants were aged 18 or older.",no,The abstract did not mention any voluntary reduction in alcohol consumption or measurements at both baseline and follow-up.,no,The abstract did not mention any measurements of well-being or life satisfaction using validated instruments.,no,"The abstract appeared to be a literature review rather than an original research study, so it did not meet the criteria for a randomized controlled trial, quasi-experimental study, or prospective cohort study.",no,"The abstract did not mention any follow-up period, so it cannot be determined if the study had a follow-up duration between 24 hours and 6 months.",maybe,"The abstract did not provide any information about the specific population included in the study, so it cannot be determined if the study included participants from the general population or only those with diagnosed alcohol use disorder.",maybe,"The abstract discussed alcohol consumption broadly, but did not describe a specific intervention or indicate whether alcohol reduction was studied in isolation or analyzed separately from other lifestyle interventions.",no,"The abstract appeared to be a review rather than a longitudinal study, and did not describe any temporal measurements, so it cannot be determined if the study was longitudinal with effects measured over more than 24 hours.",Exclude,"The abstract lacks critical details about study design, population characteristics, and specific research methodology required by the screening criteria. Multiple key requirements remain unaddressed, including outcome measurement, intervention specifics, and participant demographics. Consequently, the text appears insufficient to meet the systematic review's rigorous screening standards.",0.1
Effectiveness of brief interventions after alcohol-related vehicular injury: A randomized controlled trial.,"M. Sommers, J. Dyehouse, S. Howe, M. Fleming, J. Fargo, John C Schafer",10.1097/01.TA.0000221756.67126.91,https://doi.org/10.1097/01.TA.0000221756.67126.91,Journal of Trauma,94,2006,maybe,"The abstract does not explicitly state the participant age ranges, but given the context of motor vehicle accidents and alcohol-related injuries, it is highly likely that the participants were adults aged 18 or older. However, Elicit could not be 100% certain without explicit confirmation.",yes,"The study measured alcohol consumption at baseline and 12-month follow-up, showing voluntary reduction. This criterion is met.",no,"The study measured alcohol consumption and health-related outcomes, but did not specifically measure well-being or life satisfaction using validated instruments. This is a clear failure of this criterion.",yes,"The study was explicitly described as a randomized controlled trial, meeting this criterion.",no,"The study had a 12-month follow-up period, which exceeds the maximum 6-month requirement. This criterion is not met.",yes,"The study included participants with alcohol-related vehicular injuries, which suggests these were not exclusively individuals with diagnosed alcohol use disorder, but rather the general population who had been involved in alcohol-related incidents. This criterion is met.",yes,"The study focused specifically on alcohol reduction through brief interventions, without other lifestyle interventions. This criterion is met.",yes,"The study was longitudinal with measurements over 12 months, meeting this criterion.",Exclude,"The study fails to meet critical screening criteria, particularly the requirement to measure well-being or life satisfaction using validated instruments. While demonstrating a robust randomized controlled trial design with alcohol reduction interventions, the absence of specific well-being measurements and an extended follow-up period beyond the specified range disqualify the study from meeting the established screening requirements.",0.5
Commentary on Casswell et al. (2011): getting the full picture of alcohol's burden in the society.,M. Holmila,10.1111/j.1360-0443.2011.03416.x,https://doi.org/10.1111/j.1360-0443.2011.03416.x,Addiction,2,2011,no,"The study included participants aged 12-80 years, including minors aged 12-18, which violates the requirement for all participants to be 18 or older.",no,"The study does not examine alcohol reduction, but rather the effects of having heavy drinkers in one's life on well-being, so it does not meet the alcohol reduction criterion.",maybe,"The abstract does not specify whether validated instruments were used to measure well-being or life satisfaction, so it is unclear if this criterion was met.",no,"The study appears to be a cross-sectional survey, not a randomized controlled trial, quasi-experimental study, or prospective cohort study, so it does not meet the study design criterion.",no,"This is not a longitudinal study with follow-up measurements, but rather a single-timepoint survey, so it does not meet the follow-up duration criterion.",yes,"The study examines the general population, including those with and without heavy drinkers in their lives, so it meets the population type criterion.",no,"This is not an intervention study, but rather an observational study examining the effects of having heavy drinkers in one's life on well-being, so it does not meet the requirement for studying alcohol reduction in isolation.",no,"The study is cross-sectional, not longitudinal, and does not measure effects over time, so it does not meet the study timeline criterion.",Exclude,"The study fails multiple screening criteria, including population age requirements, intervention design, and longitudinal measurement. Specifically, the research includes participants under 18, is a cross-sectional survey rather than an intervention study, and does not examine alcohol reduction or have follow-up measurements. These fundamental differences render the study non-compliant with the specified screening criteria.",0.1
Experimentally increasing sedentary behavior results in decreased life satisfaction,"Meghan K. Edwards, P. Loprinzi",10.15171/hpp.2017.16,https://doi.org/10.15171/hpp.2017.16,Health Promotion Perspectives,16,2017,yes,"The study explicitly includes ""young adults between the ages of 18-35,"" meeting the 18+ requirement.",no,The study does not examine alcohol consumption at all. It focuses on sedentary behavior and physical activity.,yes,"The study uses the Satisfaction with Life Scale (SWLS), which is a validated instrument for measuring life satisfaction.",yes,"The study is described as a ""randomized controlled intervention,"" meeting this criterion.",yes,"The study has a one-week intervention period, which falls within the 24 hours to 6 months range.",yes,"The study includes active, young adults from the general population, not those with specific disorders.",no,"The study focuses on sedentary behavior intervention, not alcohol reduction. This is a critical mismatch with the screening criteria.",yes,The study is longitudinal with measurements at pre-intervention and post-intervention (one week apart).,Exclude,"The study focuses on sedentary behavior and life satisfaction among young adults, using a randomized controlled design with validated measurement instruments. However, the research does not address alcohol reduction, which is a critical requirement for the screening criteria, rendering the study inappropriate for inclusion in the systematic review. Despite meeting several methodological standards, the fundamental mismatch with the intervention focus disqualifies the paper.",0.1
Alcohol's harm to others and subjective well-being: Cross-sectional studies in Lao People's Democratic Republic and Thailand.,"Jintana Jankhotkaew, H. Pikhart, Surasak Chaiyasong, Orratai Waleewong, Sopit Nasueb, Kamolphat Markchang, L. Siengsounthone, Khanpaseuth Sengngam, Daovieng Douangvichit, T. Thamarangsi",10.1111/dar.13112,https://doi.org/10.1111/dar.13112,Drug and Alcohol Review,1,2020,yes,"The study included participants aged 18-64 years, which meets the criterion of all participants being 18 or older.",no,"The study does not examine alcohol reduction at all. Instead, it looks at the effects of alcohol's harm to others on well-being.",yes,"The study measured subjective well-being using what appears to be a validated instrument, as evidenced by the quantitative scoring system mentioned in the results.",no,"The study appears to be a cross-sectional population survey, not a randomized controlled trial, quasi-experimental study, or prospective cohort study.",no,"As a cross-sectional study, there is no follow-up period. The study appears to collect data at a single time point.",yes,"The study uses general population samples from Lao PDR and Thailand, not specifically those with alcohol use disorder.",no,"This is not an intervention study, but rather an observational study examining associations between alcohol's harm to others and well-being. There is no alcohol reduction intervention being studied.",no,"The study is explicitly cross-sectional, not longitudinal, and does not measure effects over time.",Exclude,"The study fails to meet key screening criteria, particularly around intervention design and longitudinal measurement, as it is a cross-sectional observational study examining alcohol's harm to others rather than an alcohol reduction intervention. While the research includes appropriate age ranges and population types, its fundamental methodology does not align with the required study characteristics for inclusion.",0.1
Transgender and non-binary people's experiences with alcohol reduction in the UK: A cross-sectional study.,"Dean J. Connolly, Beth Thayne, Jacob Bayliss, Xan Hughes, Zhi Holloway, Stewart O'Callaghan, Emma Davies",10.1016/j.josat.2023.209246,https://doi.org/10.1016/j.josat.2023.209246,Journal of substance use and addiction treatment,3,2023,maybe,"The abstract does not specify the age range of the study participants, so it is uncertain whether all participants were aged 18 or older.",maybe,"The study examines alcohol reduction support, but there is no mention of baseline and follow-up measurements, so it is uncertain whether this criterion is met.",no,"The abstract does not mention any measurements of well-being or life satisfaction using validated instruments, so it is likely that this criterion is not met.",no,"The abstract does not specify the study design, and it appears to be an exploratory study of experiences and preferences rather than a randomized controlled trial, quasi-experimental study, or prospective cohort study, so it is likely that this criterion is not met.",maybe,"The abstract does not mention the follow-up period, so it is uncertain whether this criterion is met.",yes,"The study focuses on transgender and non-binary people, and it is not exclusively those with diagnosed alcohol use disorder, so this criterion is met.",yes,"The study appears to focus on alcohol reduction support, and there is no mention of other lifestyle interventions, so it is likely that this criterion is met.",no,"The abstract does not indicate a longitudinal design, and the study appears to be a cross-sectional study of experiences, so it is likely that this criterion is not met.",Exclude,"The study focuses on transgender and non-binary people's experiences with alcohol reduction support, but lacks clear evidence of meeting key screening criteria such as longitudinal design, validated outcome measurements, and specific intervention protocols. Multiple critical requirements remain unconfirmed or appear unmet based on the limited information provided in the abstract.",0.5
The Cochrane 2018 Review on Brief Interventions in Primary Care for Hazardous and Harmful Alcohol Consumption: A Distillation for Clinicians and Policy Makers.,"F. Beyer, F. Campbell, N. Bertholet, J. Daeppen, J. Saunders, E. Pienaar, C. Muirhead, E. Kaner",10.1093/alcalc/agz035,https://doi.org/10.1093/alcalc/agz035,Alcohol and Alcoholism,53,2019,maybe,"The abstract does not explicitly state the participant age ranges, but since the study focuses on general practice and emergency care settings, it likely includes adults, though this cannot be stated with certainty.",maybe,"While the study examines alcohol reduction, it's not clear if this was voluntary/self-chosen. The interventions were clinician-delivered brief interventions rather than self-chosen reduction.",no,"The primary outcome was alcohol consumption measured in grams per week, and there is no mention of well-being or life satisfaction measurements.",yes,"The review included randomized controlled trials, which meets this criterion.",yes,"The study mentions one-year follow-up, which falls within the 24 hours to 6 months criterion.",yes,"The study explicitly focuses on ""people attending general practice, emergency care or other primary care settings for reasons other than alcohol treatment,"" indicating a general population sample.",yes,The study specifically focuses on brief interventions for alcohol reduction without mention of other lifestyle interventions.,yes,The studies were longitudinal with one-year follow-up periods.,Exclude,"The systematic review of brief alcohol interventions fails to meet key screening criteria, particularly the requirement for measuring well-being or life satisfaction. While the study demonstrates robust methodology with randomized controlled trials and appropriate population selection, the absence of validated well-being instruments and unclear voluntary nature of alcohol reduction disqualify it from meeting the comprehensive screening requirements.",1.3
"Nexus between drinking patterns, gender and life satisfaction: Some evidence from Indigenous Australians","E. Selvanathan, S. Selvanathan, M. Jayasinghe",10.1002/ajs4.109,https://doi.org/10.1002/ajs4.109,-,4,2020,maybe,"The abstract does not specify the age restrictions of the study participants, so it is unclear if all participants were aged 18 or older.",no,The study examines alcohol consumption's effects on life satisfaction but does not study voluntary reduction in alcohol consumption.,maybe,"The study measures ""self-perceived life satisfaction,"" but it is unclear if this was measured using validated instruments.",no,"This appears to be a cross-sectional analysis of survey data, not an RCT, quasi-experimental, or prospective cohort study.",no,This is a cross-sectional study with no follow-up period.,yes,"The study examines the general Indigenous population, not those with diagnosed alcohol use disorder.",no,"This is an observational study examining alcohol consumption's effects, not an intervention study of alcohol reduction.",no,"The study is cross-sectional, not longitudinal, with no temporal measurement of effects.",Exclude,"The study fails to meet multiple critical screening criteria, including the requirement for a longitudinal intervention design with alcohol reduction measurements. Key disqualifying factors include its cross-sectional nature, lack of intervention focus, and absence of follow-up measurements. The research primarily examines alcohol consumption's effects on life satisfaction among Indigenous populations, which diverges significantly from the specified study parameters.",0.5
Feelings of Wellbeing,Andrew P. Smith,10.4324/9780429296345-8,https://doi.org/10.4324/9780429296345-8,Psychobiological Issues in Substance Use and Misuse,0,2020,maybe,"The abstract mentions ""students and workers"" but does not specify the age ranges of the participants, creating uncertainty about whether all participants were 18 or older.",no,The abstract does not discuss voluntary reduction in alcohol consumption or measurements at baseline and follow-up. It focuses on general effects of alcohol consumption.,maybe,"The abstract discusses ""wellbeing"" but does not specify whether validated instruments were used to measure it. It mentions ""recent research"" has adjusted for correlated attributes, but the measurement methods are not detailed.",no,"The abstract appears to be a review/commentary rather than presenting original research. It calls for ""further research with longitudinal designs and interventions"" but does not present a specific study design.",no,No specific follow-up duration is mentioned. The abstract discusses both acute effects and general relationships but does not specify timeframes.,yes,"The population appears to be from the general population (students and workers), meeting this criterion.",no,"The abstract explicitly states that alcohol consumption should not be studied in isolation, saying ""Future research should consider these combinations rather than examining each one in isolation."" This directly contradicts the criterion of studying alcohol reduction in isolation.",no,"While the abstract mentions the need for longitudinal designs, it does not present a specific longitudinal study with measurements over time.",Exclude,"The abstract fails to meet multiple screening criteria, including lack of clarity on participant age, absence of validated well-being measurement instruments, and explicit rejection of studying alcohol consumption in isolation. Critical methodological details are missing, and the text appears to be a review rather than an original research study, rendering it unsuitable for inclusion based on the specified screening requirements.",0.5
