Title,Authors,DOI,DOI link,Venue,Citation count,Year,Adult Population,"Reasoning for ""Adult Population""",Smoking Status,"Reasoning for ""Smoking Status""",Complete Cessation,"Reasoning for ""Complete Cessation""",Outcome Measures,"Reasoning for ""Outcome Measures""",Study Design,"Reasoning for ""Study Design""",Follow-up Duration,"Reasoning for ""Follow-up Duration""",Psychological Measures,"Reasoning for ""Psychological Measures""",General Population,"Reasoning for ""General Population""",Screening judgement,"Reasoning for ""Screening judgement""",Screening score
Randomised controlled trial of anti-smoking advice: final (20 year) results.,"Geoffrey Rose, Linda Colwell, Miss Colwell",10.1136/jech.46.1.75,https://doi.org/10.1136/jech.46.1.75,Journal of Epidemiology and Community Health,59,1992,yes,"The study specifically focused on middle-aged men aged 40-59 years at baseline, which meets the criterion for an adult population.",yes,"Participants were selected as smokers, though the specific daily consumption is not mentioned in the abstract.",yes,"The study examines stopping smoking, though the specific cessation criteria are not detailed in the abstract.",no,"The abstract only mentions mortality, cancer, and heart disease outcomes, and there is no mention of life satisfaction, quality of life, or wellbeing measures.",yes,"The study is explicitly described as a randomized controlled trial, which meets the criterion for a longitudinal study, cohort study, randomized controlled trial, or systematic review.",yes,"The study had a 20-year follow-up period, which clearly exceeds the 3-month minimum requirement.",no,"There is no mention of psychological or quality of life measures, and the focus appears to be entirely on physical health outcomes.",maybe,"The study population was civil servants, which is somewhat specific but not a clinical population. They were selected based on high risk of cardiorespiratory disease, which slightly limits generalizability.",Exclude,"A randomized controlled trial of middle-aged male smokers demonstrated significant health outcomes over a 20-year period, meeting most screening criteria related to population, design, and follow-up duration. However, the study lacks validated psychological or quality of life measures, which critically limits its alignment with the review's specific focus on wellbeing outcomes.",0.9
Determinants of change in quality of life after smoking cessation of health care employees,"R. Finger, M. Tamm, B. Seiffert, M. Kuster, Anja Meyer, D. Stolz",-,-,-,0,2011,maybe,"The study was conducted with employees from University Hospital Basel and pharmaceutical companies, which suggests the participants were likely adults, even though the age range was not explicitly stated.",maybe,"The abstract mentions ""smoking employees,"" which suggests the participants were likely regular smokers, even though the frequency of smoking (≥1 cigarette/day) was not explicitly specified.",yes,"The study examines complete cessation, with 38% of participants being ""abstinent from nicotine"" after 2 years.",yes,"The study used the ""Satisfaction with Life scale"" to measure quality of life, which is a validated instrument.",yes,"The study appears to be a longitudinal cohort study with 2 years of follow-up, meeting the requirement for a longitudinal study, cohort study, randomized controlled trial, or systematic review.",yes,"The study had a 2-year follow-up period, well exceeding the 3-month minimum requirement.",yes,"The study specifically focused on quality of life measures using the Satisfaction with Life scale, indicating it included psychological or quality of life measures beyond just physical health outcomes.",yes,"The study was conducted in a workplace setting (hospital and pharmaceutical companies) but does not focus on specific medical conditions, indicating it was conducted in a general population.",Exclude,"A workplace-based smoking cessation study with a two-year follow-up demonstrated comprehensive examination of complete nicotine cessation among employees, utilizing a validated quality of life measurement scale. The research design met key screening criteria including longitudinal methodology, general population focus, and psychological outcome assessment, with only minor uncertainties regarding explicit age confirmation and precise smoking frequency.",4.5
[Efficacy of a cognitive-behavioral program with pharmacological support to achieve smoking cessation].,"D. Felten, T. Raupach, C. Sessler, L. Lüthje, G. Hasenfuss, S. Andreas",-,-,Deutsche Medizinische Wochenschrift,7,2006,yes,"The study included participants with a median age of 45.5 years, and there was no mention of participants under 18 years old. This indicates that the study population was adults 18 years or older.",yes,"The participants had tobacco dependence (Fagerstrom scale 5.1) and were all smokers at baseline, meeting the criteria for including participants who were regular cigarette smokers (≥1 cigarette/day) prior to cessation.",yes,"The study explicitly measured complete cessation, reporting specific quit rates at different time points, indicating that it examined complete cigarette smoking cessation rather than just reduction or switching to alternatives.",maybe,"The study did not explicitly mention using validated scales or instruments to measure life satisfaction, quality of life, or wellbeing.",yes,"The study appears to be a longitudinal cohort study with follow-up at 6 and 12 months, which meets the criteria for a longitudinal study, cohort study, randomized controlled trial, or systematic review.",yes,"The study included a follow-up period of 6 and 12 months, which exceeds the minimum 3-month requirement.",maybe,The study did not include any psychological or quality of life measures beyond just physical health outcomes.,yes,"The study was conducted in a tertiary care clinic, and there was no indication of focusing on specific medical conditions or unique populations, suggesting that it was conducted in a general population.",Exclude,"A smoking cessation study involving adult participants with comprehensive follow-up demonstrated clear success in measuring complete smoking cessation across a general population. While the research effectively tracked smoking cessation rates and cost-effectiveness, it lacked explicit psychological or quality of life outcome measurements. The study met most screening criteria but fell short in providing comprehensive psychological assessment.",1.3
"Smoking Status, Changes in Smoking Status and Health-Related Quality of Life: Findings from the SUN (“Seguimiento Universidad de Navarra”) Cohort","Mario Guitérrez-Bedmar, M. Seguí-Gómez, E. Gómez-Gracia, M. Bes-Rastrollo, M. Martínez-González",10.3390/ijerph6010310,https://doi.org/10.3390/ijerph6010310,International Journal of Environmental Research and Public Health,47,2009,yes,"The study involves university graduates, implying that all participants were 18 years or older. While not explicitly stated, university graduates are typically 18 or older.",yes,"The study includes regular smokers, mentioning ""smoking less than 15 cigarettes/day"", which indicates that participants were regular cigarette smokers prior to cessation.",yes,"The study includes ""ex-smokers"" and ""recent quitters"", indicating that it focuses on complete cessation rather than just reduction or switching to alternatives.",yes,"The study uses the SF-36, which is a validated quality of life instrument, to measure multiple dimensions of health and wellbeing.",yes,"This is a cohort study following participants over four years, which is a clear longitudinal design with baseline and follow-up measurements.",yes,"The study has a four-year follow-up period, which well exceeds the minimum requirement of 3 months.",yes,"The SF-36 includes mental health and role-emotional measures, and the study examines social functioning and general health, going beyond just physical health outcomes.",yes,"The study was conducted in university graduates, which is a general population sample, and there is no indication of specific medical conditions or unique populations.",Include,"A cohort study of university graduates examining smoking cessation and quality of life, this research meets all screening criteria including adult population, longitudinal design, complete cessation, regular smoking status, general population sampling, and comprehensive psychological and quality of life measures. The study uses validated instruments and follows participants over four years, providing a robust examination of smoking's impact on health and wellbeing.",4.8
Patient Cessation Activity after Automatic Referral to a Dedicated Cessation Support Service.,"K. A. Amato, M. Reid, M. Bansal-Travers, H. Ochs-Balcom, K. Cummings, M. Mahoney, J. Marshall, A. Hyland",10.1017/JSC.2017.7,https://doi.org/10.1017/JSC.2017.7,Journal of Smoking Cessation,5,2018,maybe,"The abstract does not explicitly state the age of the participants, but since this is a cancer center study, it is likely that the participants are adults, though this cannot be confirmed without explicit confirmation.",maybe,The abstract does not specify the baseline smoking frequency (≥1 cigarette/day) of the participants.,yes,"The study examines complete smoking cessation, with measures of smoke-free status and quit attempts.",no,"The abstract does not mention using validated scales for measuring life satisfaction, quality of life, or wellbeing. It only mentions satisfaction with the cessation service.",maybe,"The study appears to be a prospective cohort study with a 3-month follow-up, which fits within the acceptable study designs.",yes,"The study includes a 3-month follow-up period, which meets the minimum requirement.",no,"While the study includes some psychological measures (perceived importance and self-efficacy to quit), these are focused on smoking cessation rather than broader quality of life or wellbeing measures.",no,"The study specifically focuses on cancer patients at an NCI Designated Comprehensive Cancer Center, which is a specific medical population rather than the general population.",Exclude,"The study focuses on cancer patients seeking smoking cessation, which deviates from a general population sample and lacks comprehensive quality of life measurements. While the research includes a 3-month follow-up and examines complete smoking cessation, it fails to meet several key screening criteria, particularly regarding population specificity and validated psychological outcome measures. Uncertainty remains about participant age and baseline smoking status, further complicating its alignment with the systematic review requirements.",1.3
A longitudinal assessment of the impact of smoke-free worksite policies on tobacco use.,"J. Bauer, A. Hyland, Qiang Li, C. Steger, K. Cummings",10.2105/AJPH.2004.048678,https://doi.org/10.2105/AJPH.2004.048678,American Journal of Public Health,244,2005,maybe,"The abstract does not explicitly state the age of participants, but since it focuses on employed smokers, it can be reasonably inferred that they are adults. However, this is an assumption rather than explicit confirmation.",maybe,"The study specifically recruited ""employed smokers"" and tracked their consumption, suggesting regular smoking behavior. However, the exact daily consumption threshold is not specified.",maybe,"The study examines both complete cessation (""stopped smoking"") and reduction in consumption. While it includes cessation data, it's not exclusively focused on complete cessation.",no,"The abstract does not mention any validated scales or instruments for measuring life satisfaction, quality of life, or wellbeing. The outcomes appear to focus solely on smoking cessation and consumption.",yes,"The abstract clearly states that this is a cohort study, which meets the criterion for study design.",yes,"The study has an 8-year follow-up period (1993-2001), which clearly exceeds the 3-month minimum requirement.",no,No psychological or quality of life measures are mentioned in the abstract. The study appears to focus exclusively on smoking behavior outcomes.,maybe,"The study focuses on employed individuals, which is a subset of the general population. While not as specific as pregnant women or psychiatric patients, it's not truly representative of the general population.",Exclude,"The study partially meets screening criteria with a cohort design and long follow-up period, but lacks critical elements like validated psychological measures and quality of life assessments. While examining smoking cessation among employed individuals, the research does not comprehensively address the required psychological and wellbeing outcomes. Consequently, the study falls short of fully satisfying the systematic review's screening requirements.",1.3
Axiety and deppresion in smoking cessation clinics,"E. C. César, C. Castedo, C. Diago, J. Orive, F. Fiorentino, C. Ruiz, Eva de Higes Martínez",10.1183/13993003.congress-2019.pa2848,https://doi.org/10.1183/13993003.congress-2019.pa2848,"Tobacco, smoking control and health educ.",1,2019,yes,"The study included participants with a mean age of 54 years and an age of initiation of 16.8 years, indicating that all participants were 18 years or older.",yes,"The study included participants with an average pack-years of 43.26 and a Fagerström score of 5.59, indicating that they were regular cigarette smokers (≥1 cigarette/day) prior to cessation.",yes,"The study focused on smoking cessation and abstinence, with mentions of ""people who quit smoking"" and ""achieve abstinence"", indicating that it examined complete cigarette smoking cessation.",yes,"The study used validated scales, including the STAI (State-Trait Anxiety Inventory) and BECK (Beck Depression Inventory), to measure life satisfaction, quality of life, or wellbeing.",yes,"The study was described as a ""prospective, multi-center study"", which meets the criterion for an acceptable study design (longitudinal, cohort, RCT, or systematic review).",yes,"The study included follow-up at 15 days and one month, which meets the minimum 3-month follow-up duration criterion.",yes,"The study included both anxiety and depression measures, going beyond just physical health outcomes.",maybe,"The study included a significant proportion of COPD patients (35.9%), which may affect the generalizability of the results to the general population.",Exclude,"A prospective multi-center study of adult smokers examining complete cessation, with validated psychological measures and appropriate follow-up duration. The research included participants with a mean age of 54 years, using established scales to assess anxiety and depression, though a significant proportion of participants had COPD which may slightly limit generalizability. Overall, the study meets most screening criteria with robust methodology and comprehensive psychological outcome measurements.",4.1
- 1-Tobacco Cessation : A Study of Individuals,"M. Gouveia, M. Inês, Maria Inês Rodrigues dos Santos Joaquim",-,-,-,1,2010,maybe,"The abstract does not explicitly state the age range of participants, and while it mentions that ""90% of Smokers started smoking before adult age,"" this does not confirm that all participants were 18 years or older. This creates uncertainty about whether the adult population criterion was met.",maybe,"While the study includes smokers, it does not specify the minimum daily cigarette consumption, creating uncertainty about whether all participants met the ≥1 cigarette/day criterion.",yes,"The study does examine complete cessation, comparing ""former Smokers versus Smokers."" This criterion appears to be met.",no,"The abstract does not mention any validated scales or instruments for measuring life satisfaction, quality of life, or wellbeing. It focuses on demographic and health-related variables.",no,"The study appears to be a cross-sectional analysis of survey data (Inquérito Nacional de Saúde), which does not match any of the required study designs (longitudinal, cohort, RCT, or systematic review).",no,"The abstract does not mention any follow-up period, and the study appears to be a cross-sectional comparison rather than a longitudinal study with follow-up.",no,"While the abstract mentions ""psychological and social conditions"" influencing smoking, it does not indicate that the study actually measured these outcomes.",yes,"The study appears to use a general population survey, not focusing on specific medical conditions or unique populations. This criterion is met.",Exclude,"The study fails to meet key screening criteria, particularly the required study design and psychological outcome measurement requirements. While examining smoking cessation in a general population, the cross-sectional survey lacks longitudinal follow-up, validated psychological measures, and clear confirmation of participant age and smoking status. Multiple critical screening criteria were not satisfied, rendering the study non-compliant with the specified research parameters.",0.9
"Smoking cessation and weight gain Sharon M. Hall. University of San Francisco, CA",-,10.1016/0091-3057(84)90037-6,https://doi.org/10.1016/0091-3057(84)90037-6,"Pharmacology, Biochemistry and Behavior",71,1984,yes,"The study included participants aged 18-70 years, which meets the requirement for an adult population.",yes,"The study includes former smokers, and mentions the number of cigarettes per day (>20/day) as a factor, suggesting the participants were regular cigarette smokers prior to cessation.",yes,"The study examines former smokers who quit, focusing on weight gain after cessation, which suggests it examines complete cigarette smoking cessation rather than just reduction or switching to alternatives.",maybe,"The abstract does not mention the use of validated scales or instruments to measure life satisfaction, quality of life, or wellbeing, and the focus appears to be on physical outcomes (weight gain) rather than psychological measures.",maybe,"The study design is unclear from the abstract, and it appears to be a cross-sectional survey study rather than one of the required study designs (longitudinal, cohort, RCT, or systematic review). This is a major concern for inclusion.",maybe,"The abstract does not explicitly mention the follow-up duration, and the study appears to be retrospective, looking at lifetime histories, so it is unclear if it meets the 3-month requirement.",maybe,"The abstract does not mention the inclusion of psychological or quality of life measures beyond just physical health outcomes, and the focus appears to be on weight gain rather than psychological outcomes.",yes,"The study was conducted in the general population of Rome, with no mention of specific medical conditions or unique populations, indicating it was a representative sample.",Exclude,"The study involves adult participants from a general population examining smoking cessation, but fails to meet critical screening criteria including required study design and psychological outcome measures. While addressing complete smoking cessation and including regular smokers, the research lacks validated scales for life satisfaction and does not clearly demonstrate a follow-up period of at least three months. The primary focus on weight gain rather than psychological outcomes further limits its alignment with the screening requirements.",0.9
Future orientation and smoking cessation: secondary analysis of data from a smoking cessation trial.,"J. Beenstock, Nicola Lindson-Hawley, P. Aveyard, Jean Adams",10.1111/add.12621,https://doi.org/10.1111/add.12621,Addiction,12,2014,yes,"The study included only adult participants aged 18 years or older, as explicitly stated in the abstract.",yes,"The participants were regular cigarette smokers, smoking at least 15 cigarettes per day, which exceeds the criterion of at least 1 cigarette per day.",yes,"The study examined complete cigarette smoking cessation, with abstinence confirmed biochemically at 4 weeks and 6 months.",maybe,"The abstract does not explicitly mention the use of validated scales or instruments to measure life satisfaction, quality of life, or wellbeing.",yes,"The study design was a cohort analysis of randomized controlled trial data, which meets the criteria for a longitudinal study, cohort study, randomized controlled trial, or systematic review.",yes,"The study included a follow-up period of 4 weeks and 6 months, which exceeds the minimum requirement of 3 months.",maybe,"The study included psychological measures, specifically the Consideration of Future Consequences Scale, but it is unclear if these measures addressed quality of life or wellbeing as required.",yes,"The study was conducted in a general population in UK primary care, with no mention of specific medical conditions or unique populations.",Exclude,"A smoking cessation study involving adult participants in UK primary care met most screening criteria, including appropriate population, study design, smoking status, and follow-up duration. Uncertainty exists regarding the use of validated quality of life measures, with the study's primary focus on future orientation rather than comprehensive wellbeing outcomes. The research design appears robust but lacks clear evidence of comprehensive psychological assessment.",3.6
Benefits of smoking cessation for longevity.,"Donald H. Taylor, V. Hasselblad, S. J. Henley, M. Thun, F. Sloan",10.2105/AJPH.92.6.990,https://doi.org/10.2105/AJPH.92.6.990,American Journal of Public Health,502,2002,maybe,"The study appears to focus on adults, as it discusses life expectancy and cessation at various adult ages (35, 65). However, it's not explicitly stated that all participants were ≥18. Given the context, this is very likely but not certain.",maybe,"While the study includes smokers, the abstract doesn't specify the minimum smoking frequency (≥1 cigarette/day). However, given the large-scale nature of the study and its focus on mortality, it's likely these were regular smokers.",yes,"The study examines complete smoking cessation (""stopping smoking"") rather than reduction or alternatives. This criterion is met.",no,"The study focuses on mortality/life expectancy rather than life satisfaction, quality of life, or wellbeing using validated scales. This criterion is NOT met.",yes,"This appears to be a cohort study using data from the Cancer Prevention Study II with 877,243 respondents. This meets the criterion.",maybe,"While the study examines life expectancy, the actual follow-up duration isn't specified in the abstract. This creates some uncertainty.",no,The abstract doesn't mention any psychological or quality of life measures. The focus is purely on mortality outcomes. This criterion is NOT met.,yes,The study uses data from a large general population sample (CPS II) and applies it to the US census population. This meets the criterion.,Exclude,"The study meets several screening criteria including adult population, cohort study design, complete cessation, and general population focus. However, critical gaps exist in psychological measures and outcome scales, with the research primarily examining mortality rather than quality of life or wellbeing. These limitations suggest the study may not fully align with the comprehensive screening requirements.",0.9
"Subjective health of male ex-smokers: relationship with time since smoking cessation, intensity and duration of tobacco consumption.","L. Díez-Gañán, P. Guallar-Castillón, J. R. Banegas Banegas, P. L. Lafuente Urdinguio, E. Fernández, J. González Enríquez, F. Rodríguez‐Artalejo",10.1006/PMED.2002.1082,https://doi.org/10.1006/PMED.2002.1082,Preventive Medicine,8,2002,maybe,"The study includes participants ""aged 16 and over,"" which means some participants were under 18. This violates the adult population criterion.",maybe,"While the study includes ex-smokers, the abstract doesn't specify the minimum smoking frequency (≥1 cigarette/day) prior to cessation.",yes,"The study examines ex-smokers and compares them to current and never-smokers, indicating complete cessation rather than reduction.",maybe,"The study measures ""subjective health"" and ""suboptimal health,"" but doesn't explicitly mention using validated scales or instruments.",yes,"This appears to be a longitudinal analysis of three household surveys, which qualifies as a cohort study design.",yes,"The study examines outcomes up to 11 years after cessation, well exceeding the 3-month minimum requirement.",maybe,"While the study measures subjective health, it's unclear if this includes specific psychological or quality of life measures beyond physical health.",yes,"The study uses ""samples representative of the noninstitutionalized population,"" indicating a general population focus.",Exclude,"The study includes participants under 18, which immediately disqualifies it from meeting the adult population screening criterion. While the research demonstrates strengths in study design, complete cessation, and general population focus, significant uncertainties exist regarding smoking status, outcome measures, and psychological assessments. These ambiguities, combined with the age range violation, substantially reduce the likelihood of study inclusion.",1.3
English Stop-Smoking Services: One-Year Outcomes,"L. Bauld, R. Hiscock, F. Dobbie, P. Aveyard, T. Coleman, J. Leonardi-Bee, H. McRobbie, A. McEwen",10.3390/ijerph13121175,https://doi.org/10.3390/ijerph13121175,International Journal of Environmental Research and Public Health,41,2016,maybe,"The abstract does not explicitly state the age range of participants, but since this is a general NHS stop-smoking service study, it is likely focused on adults, though this cannot be confirmed without explicit confirmation.",maybe,"While the abstract does not specify the exact smoking frequency of participants, since these are clients seeking stop-smoking services, they are likely regular smokers, but this is not explicitly confirmed.",yes,"The study examines complete cessation, measuring ""abstinence"" through carbon monoxide validation at 52 weeks.",no,"The abstract does not mention any validated scales or instruments for measuring life satisfaction, quality of life, or wellbeing. The only outcome measure mentioned is carbon monoxide-validated abstinence.",yes,"The abstract clearly states this is a ""prospective cohort study,"" which meets the criterion for study design.",yes,"The study has a 52-week (1-year) follow-up period, which exceeds the minimum 3-month requirement.",no,The abstract does not indicate any psychological or quality of life measures beyond physical health outcomes (smoking cessation).,yes,"The study was conducted in the general population using NHS stop-smoking services, not focusing on any specific medical condition or unique population.",Exclude,"A prospective cohort study examining smoking cessation through NHS stop-smoking services demonstrates strong methodological rigor in tracking abstinence rates. However, the study lacks explicit validation of psychological or quality of life measures, and does not clearly confirm participant age range or precise smoking status. While meeting several screening criteria, the research falls short of comprehensive psychological outcome assessment.",0.9
The effect of smoking on individual well-being: a propensity score matching analysis based on nationwide surveys in Japan,"Takashi Oshio, Miki Kobayashi",-,-,-,1,2009,maybe,"The abstract does not explicitly state the age range of participants, so it is unclear if all study participants were 18 years or older.",maybe,"While the study includes smokers, it does not specify the frequency of smoking (≥1 cigarette/day). However, given the large-scale Japanese dataset, it is likely these are regular smokers.",no,The study does not examine cessation at all - it compares current smokers to non-smokers rather than studying cessation outcomes.,maybe,"The study measures life satisfaction across multiple domains (job, non-working activities, financial conditions, family life, friendships, residential area, health), but it is unclear if these are validated scales.",no,"The study appears to be a cross-sectional analysis using propensity score matching, which does not clearly fit into any of the required study designs (longitudinal, cohort, RCT, or systematic review).",no,"The study appears to be cross-sectional rather than longitudinal, so there is no follow-up period mentioned.",yes,"The study does include psychological and quality of life measures beyond physical health, examining multiple aspects of life satisfaction.",yes,"The study appears to use a general population sample from Japan, not focusing on specific medical conditions or unique populations.",Exclude,"The study fails to meet several critical screening criteria, including the lack of a longitudinal design, absence of a smoking cessation component, and no clear follow-up period. While the research explores smoking's impact on life satisfaction using a general population sample, it does not align with the systematic review's methodological requirements. The cross-sectional nature and focus on comparing smokers to non-smokers rather than examining cessation outcomes render the study unsuitable for inclusion.",0.5
Smoking cessation and transition into retirement: analyses from the English Longitudinal Study of Ageing.,"I. Lang, N. Rice, R. Wallace, J. Guralnik, D. Melzer",10.1093/AGEING/AFM119,https://doi.org/10.1093/AGEING/AFM119,Age and Ageing,56,2007,yes,"The study focused on participants aged 50 years and over, which clearly meets the criterion of including only adult participants (18 years or older).",yes,"The study specifically includes smokers at baseline, and the focus on established smokers suggests the participants were regular cigarette smokers (≥1 cigarette/day) prior to cessation.",yes,"The study measures ""smoking cessation"" and distinguishes between ""non-smoker/smoker"", which suggests it examines complete cigarette smoking cessation rather than just reduction or switching to alternatives.",maybe,"The abstract does not mention any validated scales or instruments used to measure life satisfaction, quality of life, or wellbeing, so it is unclear if this criterion is met.",yes,"The study is described as a ""population-based prospective cohort study"", which meets the criterion of being a longitudinal study, cohort study, randomized controlled trial, or systematic review.",yes,"The study has a follow-up period of 5-6 years, which clearly exceeds the minimum requirement of 3 months.",maybe,"The abstract does not mention any psychological or quality of life measures beyond just physical health outcomes, so it is unclear if this criterion is met.",yes,"The study is population-based in England and does not focus on specific medical conditions or unique populations, meeting the criterion of being conducted in a general population.",Exclude,"A population-based cohort study of smokers aged 50+ demonstrates clear alignment with most screening criteria, including adult population, appropriate study design, complete smoking cessation, and sufficient follow-up duration. However, significant uncertainty exists regarding the inclusion of validated psychological or quality of life measures, which could potentially disqualify the study from meeting all screening requirements.",2.5
Update on smoking cessation interventions for the primary care physician. Introduction.,S. Rennard,10.1016/j.amjmed.2008.01.014,https://doi.org/10.1016/j.amjmed.2008.01.014,American Journal of Medicine,7,2008,maybe,"The abstract does not explicitly state the age range of participants, so it is unclear if all study participants were 18 years or older.",maybe,"While the paper discusses smokers, it does not specify the baseline smoking frequency (≥1 cigarette/day).",yes,"The paper does focus on complete smoking cessation rather than reduction, as evidenced by discussions of quit attempts and abstinence.",no,"The abstract does not mention any validated scales or instruments for measuring life satisfaction, quality of life, or wellbeing. The focus appears to be on smoking cessation success rather than quality of life outcomes.",maybe,"The paper appears to be a review article or supplement to a journal, but it is not clearly specified if it is a systematic review. It discusses various studies and clinical trials but seems to be more of a narrative review of smoking cessation treatments.",maybe,The abstract does not mention specific follow-up periods for any of the studies discussed.,maybe,"While the paper discusses psychological aspects of smoking (withdrawal, conditioning, behavioral responses), it does not specifically mention measuring psychological outcomes or quality of life.",yes,"The paper appears to focus on the general smoking population in clinical settings, not specific medical conditions or unique populations.",Exclude,"The abstract appears to be a narrative review of smoking cessation treatments that lacks clear specification of key screening criteria, including participant age range, follow-up duration, and validated outcome measures. While discussing smoking cessation comprehensively, the text does not provide sufficient detail to confidently confirm alignment with systematic review requirements for population, study design, and psychological outcome measurements.",0.9
An analysis of the effectiveness of interventions intended to help people stop smoking.,"M. Law, Jinling Tang",10.1001/ARCHINTE.1995.00430180025004,https://doi.org/10.1001/ARCHINTE.1995.00430180025004,Archives of Internal Medicine,467,1995,maybe,"The abstract does not explicitly state the age range of participants, so it is uncertain whether all study participants were 18 years or older.",maybe,"The abstract refers to ""smokers"" throughout, and given the context of clinical trials, these were likely regular smokers, even though the minimum daily cigarette consumption is not specified.",yes,"The study explicitly examines complete smoking cessation, with outcomes measured as ""stopped smoking and did not relapse."" It specifically mentions both sudden cessation and gradual reduction.",no,"The abstract does not mention any validated scales or instruments for measuring life satisfaction, quality of life, or wellbeing. The focus appears to be on cessation rates rather than quality of life measures.",yes,"This is a systematic review of 188 randomized controlled trials, which clearly meets the study design criterion.",yes,"The abstract mentions follow-up ""up to 1 year,"" which exceeds the minimum 3-month requirement.",no,"While the study includes behavioral interventions, it does not explicitly measure psychological outcomes or quality of life. The outcomes appear to be primarily cessation rates.",yes,"The study includes both general population smokers and specific subgroups (pregnant women, heart disease patients), but it is not exclusively focused on these specific populations.",Exclude,"A systematic review of smoking cessation interventions demonstrates strong methodological rigor across multiple criteria, including study design, complete cessation, and follow-up duration. However, critical gaps exist in psychological and quality of life measurement, with no validated scales or instruments reported to assess broader wellbeing outcomes. The study's primary focus on cessation rates rather than comprehensive psychological measures limits its alignment with the comprehensive screening requirements.",0.9
Life Satisfaction Trend and Mortality After Traumatic Spinal Cord Injury: A Cohort Study.,"Yue Cao, N. DiPiro, James S. Krause",10.46292/sci22-00090,https://doi.org/10.46292/sci22-00090,Topics in Spinal Cord Injury Rehabilitation,2,2023,yes,"The study included adult participants, as explicitly stated in the abstract.",no,"The abstract did not mention the smoking status of the participants, as the study population was defined by SCI status rather than smoking status.",no,"The study did not examine complete cigarette smoking cessation, as it focused on life satisfaction and survival in SCI patients rather than smoking cessation.",yes,"The study measured life satisfaction, which is a validated measure of wellbeing, though the specific instrument was not mentioned in the abstract.",yes,"The study design was a cohort study, which meets the criterion for a longitudinal study, cohort study, randomized controlled trial, or systematic review.",yes,"The study had a 10-year follow-up period with assessments every 5 years, which exceeds the 3-month minimum requirement.",yes,The study included psychological measures (life satisfaction) beyond just physical health outcomes.,no,"The study specifically focused on individuals with traumatic spinal cord injuries, which is a specific medical condition population, not a general population.",Exclude,"The study focuses on life satisfaction and survival in spinal cord injury patients, which fundamentally differs from the screening criteria's requirements for smoking cessation research. Critical screening criteria related to smoking status, cessation, and general population were not met, rendering the study non-compliant with the systematic review's specifications. Despite having appropriate study design and outcome measures, the core research focus disqualifies it from inclusion.",0.1
Clinical and public health significance of treatments to aid smoking cessation,"R. West, J. Stapleton",10.1183/09059180.00011005,https://doi.org/10.1183/09059180.00011005,European Respiratory Review,60,2008,maybe,"The abstract mentions age 40 years specifically, suggesting an adult population, but does not explicitly state that all participants were 18 years or older. However, given the context and focus on life expectancy, it is likely an adult population study.",maybe,The abstract discusses smokers generally but does not specify the minimum smoking frequency (≥1 cigarette/day).,yes,"The study focuses on complete smoking cessation, discussing ""permanent"" cessation and ""stopping"" smoking.",no,"The abstract focuses on life expectancy and mortality outcomes but does not mention validated scales for life satisfaction, quality of life, or wellbeing.",maybe,"The abstract mentions ""high-quality randomised controlled trials"" and appears to be a review of evidence, but it is not clearly stated if this is a systematic review or narrative review.",maybe,"While the study discusses long-term outcomes (life expectancy), it does not explicitly state the follow-up duration of the included studies.",no,"The abstract does not mention any psychological or quality of life measures, focusing instead on physical health outcomes (mortality).",yes,"The study appears to focus on the general smoking population, with no mention of specific medical conditions or unique populations.",Exclude,"The abstract primarily focuses on smoking cessation and mortality outcomes, with limited information about psychological measures or validated quality of life scales. While the study appears to involve an adult population and complete smoking cessation, it lacks clear details about follow-up duration, smoking frequency, and comprehensive outcome measurements. The research seems more oriented toward epidemiological and mortality analysis rather than meeting the specific screening criteria for psychological and quality of life assessments.",1.3
Comparison of self-reported smoking status and physician-recorded smoking status among patients with locally advanced squamous cell carcinoma of the head and neck (SCCHN).,"M. Trinkaus, J. Corry, D. Rischin",10.1016/j.radonc.2010.11.001,https://doi.org/10.1016/j.radonc.2010.11.001,Radiotherapy and Oncology,2,2011,maybe,"The abstract does not explicitly state the age range of participants, but given that this is a study of head and neck cancer patients, it is very likely that the participants are adults, though this cannot be confirmed with 100% certainty without explicit confirmation.",no,"While the study includes smokers, it is not examining cessation from regular smoking. The study looks at current smoking status validation.",no,"The study does not examine smoking cessation outcomes. Instead, it focuses on validating self-reported smoking status in cancer patients.",no,"While the study uses the FACT head and neck quality of life scale, it is not being used to measure life satisfaction or quality of life outcomes, but rather to validate smoking status reporting.",no,"This appears to be a validation study comparing self-reported smoking status with questionnaire data, rather than a longitudinal study, cohort study, randomized controlled trial, or systematic review as required by the criteria.",no,The abstract does not mention any follow-up period. The study appears to be a cross-sectional validation study.,no,The study does not appear to include psychological or quality of life measures as outcomes. The quality of life questionnaire is used as a validation tool for smoking status.,no,"The study specifically focuses on patients with head and neck cancer (SCCHN), which is a specific medical condition population, not a general population as required.",Exclude,"The study focuses on head and neck cancer patients and smoking status validation, which deviates from the required screening criteria of examining complete smoking cessation in a general adult population. Multiple key criteria are not met, including study design, population type, outcome measures, and follow-up duration. The research primarily validates self-reported smoking status rather than investigating smoking cessation outcomes.",0.5
