Title,Authors,DOI,DOI link,Venue,Citation count,Year,Population Age,"Reasoning for ""Population Age""",Activity Transition,"Reasoning for ""Activity Transition""",Population Activity Level,"Reasoning for ""Population Activity Level""",Intervention Type,"Reasoning for ""Intervention Type""",Intervention Duration,"Reasoning for ""Intervention Duration""",Intervention Frequency,"Reasoning for ""Intervention Frequency""",Outcome Measures,"Reasoning for ""Outcome Measures""",Study Design,"Reasoning for ""Study Design""",Screening judgement,"Reasoning for ""Screening judgement""",Screening score
The Longitudinal Associations Between Change in Physical Activity and Cognitive Functioning in Older Adults With Chronic Illness(es),"E. Volders, R. Groot, C. Bolman, L. Lechner",10.21203/RS.3.RS-267238/V1,https://doi.org/10.21203/RS.3.RS-267238/V1,-,0,2021,yes,"The study specifically focused on older adults (≥65 years), meeting the adult age requirement.",maybe,"While the study measured changes in physical activity levels, it did not explicitly state that participants transitioned from sedentary to active lifestyles. It only measured changes in light physical activity (LPA) and moderate-to-vigorous physical activity (MVPA).",yes,"The study focused on older adults with chronic illnesses who have mobility problems, suggesting they are from the general/sedentary population rather than elite athletes.",no,"This was an observational study of natural physical activity patterns rather than a physical activity intervention, so it did not meet the requirement for a physical activity intervention.",yes,"The study followed participants for 12 months, which exceeds the 4-week minimum intervention duration requirement.",maybe,"This was an observational study measuring natural changes in physical activity rather than an intervention, so the criterion about sustained behavior change is not directly applicable. However, the study did examine sustained behavior change over time.",no,"The study measured cognitive functioning using a validated neuropsychological test battery, but did not measure life satisfaction, wellbeing, or quality of life as specified in the criteria.",yes,"The study design was a longitudinal observational study with measurements at baseline and 6/12 months follow-up, which meets the requirement for an interventional or longitudinal observational study design.",Exclude,"The study fails to meet key screening criteria, particularly the requirement for measuring life satisfaction, wellbeing, or quality of life, and lacks a physical activity intervention. While the research examines physical activity changes in older adults with chronic illnesses, it does not align with the systematic review's specific methodological and outcome requirements.",0.9
Physical activity and subjective well-being among people with spinal cord injury: a meta-analysis,"K. M. Ginis, Arif Jetha, Diane E. Mack, S. P. Hetz",10.1038/sc.2009.87,https://doi.org/10.1038/sc.2009.87,Spinal Cord,168,2010,maybe,The abstract doesn't specify age ranges of participants.,maybe,"While the study examines PA and SWB relationships, it doesn't explicitly mention measuring baseline activity levels or transitions from sedentary to active lifestyles.",maybe,"While the population has SCI, their baseline activity levels aren't specified.",yes,"The study examines physical activity interventions, though specific types aren't detailed.",maybe,The abstract doesn't specify intervention durations of included studies.,maybe,"As a meta-analysis, it likely includes studies with sustained behavior change, but this isn't explicitly stated in the abstract.",yes,"The study explicitly measures subjective well-being (SWB), life satisfaction, and depression using validated instruments.",no,"The paper is a meta-analysis of cross-sectional, quasi-experimental and experimental studies, rather than a primary interventional or longitudinal observational study. This is a significant issue for inclusion.",Exclude,"A meta-analysis examining physical activity and subjective well-being among spinal cord injury patients presents significant challenges for screening criteria, primarily due to its non-primary study design. Multiple key screening requirements remain unclear, including intervention duration, activity transition, population age, and baseline activity levels, which substantially reduces the likelihood of meeting the specified inclusion criteria.",0.5
[Material well-being of the province of residence and leisure-time physical inactivity].,"C. Pascual, E. Regidor, J. L. Gutiérrez-Fisac, D. Martínez, M. Calle, V. Domı́nguez",10.1590/S0213-91112005000600002,https://doi.org/10.1590/S0213-91112005000600002,Gaceta Sanitaria,2,2005,maybe,"The study includes people aged 16 and older, which partially meets the criterion of adults (18+). However, it includes some participants under 18.",no,The study does not measure baseline activity levels or examine transitions from sedentary to active lifestyles. It only classifies people as inactive or active at a single time point.,yes,"The study examines the general population, which meets this criterion.",no,This is not an intervention study - it's an observational study examining associations between material wellbeing and physical activity.,no,No intervention is present in this study.,no,"This is not an intervention study, so it does not examine sustained behavior change.",no,"The study measures physical inactivity but does not measure life satisfaction, wellbeing, or quality of life. The focus is on the relationship between material wellbeing and physical activity.",no,"The study appears to be a cross-sectional observational study using survey data from 1999, rather than an interventional or longitudinal observational study.",Exclude,"This cross-sectional observational study fails to meet most screening criteria, particularly those related to intervention design, outcome measures, and sustained behavior change. The research examines associations between material wellbeing and physical inactivity in the Spanish population, but lacks the required elements of an interventional study focused on wellbeing outcomes. Only the population activity level criterion was fully satisfied.",0.1
3 Let’s get moving: Reducing sedentary behaviour in primary care waiting rooms,A. Boalch,10.1136/bmjsem-2023-basemconf.3,https://doi.org/10.1136/bmjsem-2023-basemconf.3,2022 British Association of Sport and Exercise Medicine Conference Abstract Prize Winners,0,2023,maybe,"The study appears to include both staff and patients from a general practice setting, but doesn't explicitly state age restrictions. While likely adults, this isn't explicitly confirmed, so this criterion is probably met but with some uncertainty.",maybe,"While the study measures baseline activity levels (31% of staff and 39.5% of patients meeting guidelines), it doesn't specifically focus on participants transitioning from sedentary to active lifestyles. The intervention is more general, so this criterion is partially met.",yes,"The study includes the general population from a health centre, including both staff and patients, with baseline activity levels showing many were not meeting guidelines. This criterion is met.",maybe,"The intervention includes physical activity promotion but is primarily educational rather than a structured physical activity program. It includes chair-based exercises but doesn't appear to be a comprehensive physical activity intervention, so this criterion is partially met.",yes,"The study does include a 4-month follow-up period, so this criterion is met.",no,"The intervention appears to be primarily educational (posters, QR links, educational sessions) rather than examining sustained behavior change. While there is a 4-month follow-up, the intervention itself doesn't seem focused on sustained behavior change, so this criterion is not clearly met.",no,"The study measures physical activity levels but does not appear to measure life satisfaction, wellbeing, or quality of life using validated instruments. Therefore, this criterion is not met.",no,"The study appears to be a pre-post intervention study with surveys, but it's not clearly described as an RCT or quasi-experimental design. It's more of a quality improvement project, so the study design does not clearly meet the criterion.",Exclude,"The study primarily focuses on an educational intervention to promote physical activity, but lacks validated wellbeing outcome measures and a structured physical activity program. While the research includes a general population and a 4-month follow-up, it does not meet several key screening criteria related to intervention design, outcome measurement, and sustained behavior change. The project appears more aligned with a quality improvement initiative than a rigorous research study examining physical activity interventions.",1.3
Leisure Time Physical Activity in Australian Women: Relationship with Well Being and Symptoms,"W. Brown, Gitanjali Mishra, Christina Lee, A. Bauman",10.1080/02701367.2000.10608901,https://doi.org/10.1080/02701367.2000.10608901,Research Quarterly for Exercise and Sport,281,2000,yes,"The study includes women aged 18-23, 45-50, and 70-75 years, all meeting the adult age requirement, so this criterion is met.",no,"The study examines different activity levels (sedentary vs. low-to-moderate activity) but does not specifically measure transitions from sedentary to active lifestyle, so this criterion is not met.",yes,"The study examines the general population, including sedentary women and those with low-to-moderate activity levels, meeting this criterion.",no,"This is not an intervention study, but rather an observational study examining physical activity levels, so this criterion is not met.",no,"As this is not an intervention study, this criterion is not applicable and is not met.",no,"This is not an intervention study, but rather an observational study examining associations between physical activity levels and outcomes, so this criterion is not met.",yes,"The study uses the SF-36, which is a validated instrument for measuring wellbeing and quality of life, meeting this criterion.",maybe,"The study design is described as ""cross-sectional"" in the abstract, but it is also mentioned as part of a ""longitudinal study"" with follow-up planned. This creates some uncertainty about the actual study design, as the current analysis appears to be cross-sectional, which does not meet the criterion for an interventional or longitudinal observational study.",Exclude,"The study is a cross-sectional observational research examining physical activity and wellbeing among women, which fails to meet several key screening criteria related to intervention design, sustained behavior change, and activity transitions. While the research uses validated instruments and includes appropriate age groups, it lacks the interventional components and longitudinal tracking required by the screening protocol. Consequently, the study does not align with the specified research parameters.",0.9
The association between well-being and a large variation of accelerometer-assessed physical activity and sedentary behavior measures,"L.P. de Vries, D. Pelt, H. P. van der Ploeg, M. Chinapaw, E. D. de Geus, M. Bartels",10.1016/j.mhpa.2022.100446,https://doi.org/10.1016/j.mhpa.2022.100446,Mental Health and Physical Activity,1,2022,yes,"The study included adult participants, so it met the criterion for population age.",no,"The study did not examine participants transitioning from a sedentary to more active lifestyle, so it did not meet the criterion for activity transition.",yes,"The study included participants from the general population, not exclusively elite athletes or highly active individuals, so it met the criterion for population activity level.",no,"The study was not an intervention study, so it did not meet the criterion for intervention type.",no,"The study did not have an intervention, so the criterion for intervention duration was not applicable.",no,"The study did not examine sustained behavior change, as it was not an intervention study, so it did not meet the criterion for intervention frequency.",yes,"The study measured life satisfaction, which is a validated measure of well-being, so it met the criterion for outcome measures.",no,"The study design was observational, not interventional or longitudinal, so it did not meet the criterion for study design.",Exclude,"This observational study examining physical activity and well-being fails to meet key screening criteria related to intervention design, behavior change, and activity transition. While the research includes appropriate population age and measures life satisfaction, it lacks the interventional elements required by the screening protocol. The cross-sectional nature of the study prevents it from addressing sustained behavioral changes or lifestyle interventions.",0.5
"Associations between physical activity in adolescence and health behaviours, well-being, family and social relations","Fiona Brooks, Nigel Smeeton, K. Chester, N. Spencer, E. Klemera",10.1080/14635240.2014.923287,https://doi.org/10.1080/14635240.2014.923287,-,11,2014,no,"The study focuses on students aged 11, 13, and 15 years, which fails to meet the criterion requiring adult participants (18+).",no,"While the study examines PA levels and mentions ""sedentary young people,"" it doesn't specifically measure baseline activity levels or track transitions from sedentary to active lifestyles. It's a cross-sectional snapshot.",yes,"The study does examine the general population of adolescents, including both active and sedentary individuals, which would meet this criterion if the age requirement were met.",no,"This is not an intervention study, so this criterion is not applicable.",no,"No intervention is described, so this criterion is not applicable.",no,"This is not an intervention study, so this criterion is not applicable. The study examines general PA levels rather than sustained behavior change.",maybe,"The study did measure life satisfaction and self-rated health, which are relevant to wellbeing. However, it's not clear if these were measured using validated instruments, though the abstract mentions ""internationally validated items.""",no,"The study design was a cross-sectional study, which does not meet the criterion requiring an interventional or longitudinal observational design.",Exclude,"The study fails to meet key screening criteria due to its cross-sectional design and focus on adolescent participants aged 11-15, which deviates from the required adult population and interventional study design. While the research examines physical activity and wellbeing, it lacks the longitudinal or intervention-based approach specified in the screening requirements, rendering it ineligible for inclusion.",0.1
Effects of changes in physical and sedentary behaviors on mental health and life satisfaction during the COVID-19 pandemic: Evidence from China,"Xi Chen, Haiyan Gao, Binbin Shu, Yuchun Zou",10.1371/journal.pone.0269237,https://doi.org/10.1371/journal.pone.0269237,PLoS ONE,7,2022,yes,"The study includes adults aged 18-80, which meets the criterion for population age.",maybe,"The study does examine changes in physical activity and sedentary behavior during COVID-19, and it appears to measure baseline activity levels (""before or during""). However, this is not in the context of an intervention, so it only partially meets the criterion.",yes,"The study examines the general population in Hubei province, which is not restricted to elite athletes. Therefore, it meets the criterion for population activity level.",no,"No formal physical activity intervention was implemented, as the study only observes natural behavioral changes. Therefore, it does not meet the criterion for an intervention type.",no,"No formal intervention was conducted, so the study does not meet the criterion for an intervention duration of at least 4 weeks.",no,"This is not an intervention study, as it examines behavioral changes during COVID-19 but does not implement or study a specific intervention. Therefore, it does not meet the criterion for examining sustained behavior change.",maybe,"The study measures life satisfaction and mental health, which align with the criterion. However, the abstract does not specify if validated instruments were used, so there is partial/uncertain match with this criterion.",no,"The study is described as a ""cross-sectional survey"", which does not meet the criterion requiring an interventional or longitudinal observational design. Cross-sectional studies cannot establish temporal relationships, which is a critical limitation for this review.",Exclude,"A cross-sectional survey examining behavioral changes during COVID-19 fails to meet key screening criteria, particularly the requirement for an interventional or longitudinal study design. While the research explores physical activity, sedentary behavior, and mental health outcomes among adults, it lacks a structured intervention and cannot establish causal relationships between behavioral changes and health outcomes.",0.5
Active Students Are Healthier and Happier Than Their Inactive Peers: The Results of a Large Representative Cross-Sectional Study of University Students in Ireland.,"M. Murphy, A. Carlin, C. Woods, A. Nevill, C. MacDonncha, Kyle Ferguson, N. Murphy",10.1123/jpah.2017-0432,https://doi.org/10.1123/jpah.2017-0432,Journal of Physical Activity and Health,65,2018,yes,"The study focuses on university students, who are typically adults (18+).",no,The study doesn't measure baseline activity levels or examine transitions from sedentary to active lifestyles. It only looks at current activity levels and their associations with outcomes.,yes,"The study examines the general university student population, including both active and inactive individuals, not exclusively elite athletes.",no,This is not an intervention study. It examines physical activity participation but doesn't implement any physical activity intervention.,no,"No intervention was conducted, so there is no intervention duration to assess.",no,"This is not an intervention study, so it does not examine sustained behavior change.",maybe,"The study measured happiness and mental health, which are related to wellbeing, but it's unclear if validated instruments were used. The abstract mentions ""self-reported"" measures but doesn't specify the instruments.",no,"The study design was a cross-sectional survey, not an interventional or longitudinal observational study as required by the criterion.",Exclude,"This cross-sectional survey of university students fails to meet key screening criteria, particularly those related to intervention design, behavior change, and longitudinal measurement. While the study examines physical activity and its associations with health outcomes among young adults, it lacks the required interventional or longitudinal elements necessary for inclusion. The research provides insights into student activity levels but does not align with the specified methodological requirements.",0.5
Physical activity guidelines 2020: comprehensive and inclusive recommendations to activate populations,"D. Ding, N. Mutrie, A. Bauman, M. Pratt, P. Hallal, K. Powell",10.1016/s0140-6736(20)32229-7,https://doi.org/10.1016/s0140-6736(20)32229-7,The Lancet,73,2020,maybe,"The paper discusses guidelines for various age groups, including adults, but does not study a specific population.",no,"While the paper discusses transitions from sedentary to active lifestyles conceptually, it does not measure baseline activity levels or track specific transitions in participants.",maybe,"The paper discusses guidelines for the general population, but does not study a specific population.",no,"While the paper discusses physical activity interventions broadly, it does not examine a specific intervention.",no,"No specific intervention duration is mentioned, as this is not an intervention study.",no,"The paper discusses sustained physical activity patterns and lifestyle changes, but does not examine specific intervention frequencies as it is not an intervention study.",no,"While the paper mentions health-related quality of life and mental health as outcomes, it does not measure these directly using validated instruments. It is discussing these as part of guideline recommendations, not as part of an original study.",no,"The paper appears to be a review/commentary piece about WHO guidelines and physical activity recommendations, rather than an interventional or longitudinal observational study. It does not present original research.",Exclude,"This document is a review of physical activity guidelines rather than an original research study, failing to meet key screening criteria such as study design, intervention type, and outcome measurement. The text discusses WHO guidelines and physical activity recommendations conceptually but does not present empirical research with specific interventions, participant populations, or measured outcomes. Consequently, the document does not qualify for inclusion based on the established screening requirements.",0.1
Lifestyle and Structured Physical Activity Programs for Sedentary Adults,"M. Sandilands, A. Dunn, Marcus Bh, J. Kampert",10.1097/00042752-199907000-00015,https://doi.org/10.1097/00042752-199907000-00015,-,0,1999,no,Elicit could not determine the population age because the provided information was only author information without any details about the actual study.,no,Elicit could not determine if the study measured baseline activity levels and examined participants transitioning from a sedentary to more active lifestyle because the provided information was only author information without any details about the actual study.,no,Elicit could not determine the population activity level because the provided information was only author information without any details about the actual study.,no,Elicit could not determine the intervention type because the provided information was only author information without any details about the actual study.,no,Elicit could not determine the intervention duration because the provided information was only author information without any details about the actual study.,no,Elicit could not determine the intervention frequency because the provided information was only author information without any details about the actual study.,no,Elicit could not determine the outcome measures because the provided information was only author information without any details about the actual study.,no,Elicit could not determine the study design because the provided information was only author information without any details about the actual study.,Exclude,"No substantive information is available to assess the screening criteria, as only author names and credentials are present. Without an actual study abstract describing methodology, participants, interventions, or outcomes, it is impossible to determine whether the research meets any of the specified inclusion requirements. Consequently, the paper cannot be evaluated for potential inclusion based on the current information.",0.1
The impact of physical activity rate on subjective well-being among North-Western Italian population during COVID-19 nationwide lockdown.,"Federico Abate Daga, Samuel Agostino, Serenella Peretti, L. Beratto",10.23736/S0022-4707.21.12787-2,https://doi.org/10.23736/S0022-4707.21.12787-2,Journal of Sports Medicine and Physical Fitness,8,2021,maybe,"The abstract doesn't explicitly state the age range of participants. While it's likely these are adults given the context, we cannot be certain without explicit confirmation. This creates uncertainty for the criterion of all study participants being adults (aged 18 or older).",no,The study measures current activity levels but does not examine transitions from sedentary to active lifestyles. It only looks at correlations between existing activity levels and wellbeing. This fails to meet the criterion for measuring baseline activity levels and examining participants transitioning from a sedentary to more active lifestyle.,yes,"The study appears to include participants from the general population, including those with low, moderate, and very active levels. This meets the criterion for the study participants being from the general or sedentary population.",no,This is not an intervention study - it's an observational study examining existing physical activity levels. This fails to meet the criterion for examining a physical activity intervention.,no,No intervention duration is applicable as this is not an intervention study. This fails to meet the criterion for an intervention duration of at least 4 weeks.,no,This is not an intervention study - it's an observational study examining existing activity levels. It doesn't examine sustained behavior change. This fails to meet the criterion for examining sustained behavior change.,yes,"The study uses the 5-item World Health Organization Well-being Index, which is a validated instrument for measuring wellbeing. This meets the criterion for measuring life satisfaction, wellbeing, or quality of life using validated instruments.",no,"The study appears to be a cross-sectional observational study using surveys, not an interventional or longitudinal design. This fails to meet the criterion for an interventional or longitudinal observational study design.",Exclude,"This cross-sectional study examining physical activity and wellbeing during COVID-19 fails to meet key screening criteria, particularly those related to intervention design, sustained behavior change, and activity transitions. While the research uses validated instruments and includes a general population sample, its observational nature and lack of intervention components disqualify it from meeting the specified screening requirements.",0.5
Physical activity and quality of life in older adults: an 18-month panel analysis,"Siobhan M. Phillips, T. Wójcicki, E. McAuley",10.1007/s11136-012-0319-z,https://doi.org/10.1007/s11136-012-0319-z,Quality of Life Research,68,2013,yes,"The study focused on older adults (mean age 63.8 years), clearly meeting the requirement for adult participants (aged 18 or older).",maybe,"While the study measured physical activity changes over time, it's not explicitly stated that participants transitioned from sedentary to active. The abstract doesn't specify baseline activity levels, so it's uncertain whether this criterion is met.",yes,"The study used community-dwelling adults, suggesting a general population rather than elite athletes, meeting the requirement for a general or sedentary population.",maybe,"The study examined physical activity, but it's not clear if this was an intervention or just observational measurement of existing activity levels. The abstract mentions ""physical activity programs and interventions"" but doesn't specify if this was part of the study design, so it's uncertain whether this criterion is met.",yes,"The study duration was 18 months, well exceeding the 4-week minimum requirement for intervention duration.",yes,"The study examined changes in physical activity over 18 months, suggesting sustained behavior change rather than just acute effects of single exercise sessions, meeting the requirement for examining sustained behavior change.",yes,"The study measured quality of life and life satisfaction using what appears to be validated instruments, meeting the requirement for measuring life satisfaction, wellbeing, or quality of life using validated instruments.",yes,"The study design was a longitudinal observational study with baseline and 18-month follow-up, which meets the requirement for an interventional or longitudinal observational study design.",Exclude,"A longitudinal observational study of older adults examining physical activity's impact on quality of life, with validated instruments measuring life satisfaction over 18 months. The research meets most screening criteria, with some uncertainty around intervention specifics and participant activity level transitions. The study provides insights into physical activity's relationship with life satisfaction through mediating factors like self-efficacy and health status.",3.8
"Momentary Associations Between Physical Activity, Affect, and Purpose in Life","Tiia Kekäläinen, Martina Luchetti, Antonio Terracciano, Alyssa A. Gamaldo, Martin J Sliwinski, A. Sutin",10.1093/abm/kaae051,https://doi.org/10.1093/abm/kaae051,Annals of Behavioral Medicine,3,2024,yes,"The study includes middle-aged participants (40-70 years old), clearly meeting the adult age requirement.",no,"The study doesn't examine participants transitioning from sedentary to active lifestyles. It looks at momentary associations between activity and wellbeing in daily life, so this criterion is not met.",yes,"The study appears to include participants from the general population, not elite athletes, so this criterion is likely met.",no,"The study doesn't examine a physical activity intervention - it observes natural physical activity patterns, so this criterion is not met.",no,"No intervention is present, so this criterion is not met.",no,"This study doesn't examine an intervention - it's an observational study of natural physical activity patterns, so it fails this criterion.",maybe,"The study measures purpose in life and affect (positive and negative), which are related to wellbeing. However, it's not explicitly stated whether these were measured using validated instruments, though EMA is a recognized methodology.",maybe,"The study appears to be an observational study using Ecological Momentary Assessment (EMA) and accelerometer data. While it's longitudinal in nature (8 consecutive days), it's not clearly interventional or a traditional longitudinal observational study, creating some uncertainty about meeting this criterion.",Exclude,"This observational study of middle-aged adults explores momentary associations between physical activity and wellbeing, but lacks a structured intervention and does not examine sustained behavior change or activity transitions. While the research provides insights into daily physical activity patterns, it does not meet several key screening criteria related to intervention design, duration, and population activity level. The study's focus on natural activity patterns rather than a targeted intervention limits its alignment with the systematic review's requirements.",0.9
Associations between cohort study participation and self-reported health and well-being: the Northern Finland Birth Cohort 1966 Study,"Heli Taanila, A. Rönkä, S. Keinänen-Kiukaanniemi, J. Jokelainen, T. Nordström, A. Taanila, T. Hurtig",10.1136/jech-2022-219229,https://doi.org/10.1136/jech-2022-219229,Journal of Epidemiology and Community Health,3,2022,yes,"The study follows participants from age 1 through 46, so all participants are adults at the final measurement point, meeting this criterion.",no,The study does not measure baseline activity levels or examine transitions from sedentary to active lifestyles. It focuses on participation in the cohort study itself.,yes,"The study appears to include the general population (birth cohort), so this criterion is met.",no,The study does not examine a physical activity intervention. It is studying participation in a cohort study and its relationship to health outcomes.,no,"There is no physical activity intervention, so this criterion is not met.",no,This study does not examine a physical activity intervention at all. It is studying participation patterns in a cohort study and their association with health outcomes.,maybe,"The study does measure wellbeing and life satisfaction, but it is unclear if these were measured using validated instruments. The abstract mentions ""self-reported health and well-being"" but does not specify the measurement tools.",yes,"The study is a longitudinal observational study (birth cohort study), which meets the criterion for study design. However, it is not an interventional study, as it is examining participation patterns in the cohort study itself rather than a physical activity intervention.",Exclude,"This longitudinal birth cohort study does not meet the systematic review's screening criteria for a physical activity intervention, as it lacks an exercise program, does not measure activity transitions, and focuses on cohort participation patterns rather than physical activity effects. While the study includes adult participants and measures wellbeing, it fundamentally differs from the review's intended focus on physical activity interventions and their impact on life satisfaction.",0.5
Association of Outdoor Physical Activity and Sports with Life Satisfaction among Women of Reproductive Age According to a European Representative Sample—A Longitudinal Analysis,"Viktória Prémusz, A. Makai, P. Ács, Evelin Derkács, T. Laczkó",10.3390/ejihpe13090135,https://doi.org/10.3390/ejihpe13090135,"European Journal of Investigation in Health, Psychology and Education",3,2023,yes,"The study focuses on women of reproductive age (mean age 34.60 ± 9.36 years), so all participants are adults.",no,The study does not examine transitions from sedentary to active lifestyles. It only compares different activity settings (outdoor vs. non-outdoor).,yes,"The study includes both active and inactive individuals from the general population, not exclusively elite athletes.",no,This is not an intervention study - it examines existing physical activity patterns rather than implementing a physical activity intervention.,no,No intervention duration is applicable as this is not an intervention study.,no,"This is not an intervention study - it's an observational analysis of existing activity patterns. Therefore, it does not meet the criterion for examining sustained behavior change.",maybe,"The study measures life satisfaction (LS), which is one of the target outcomes. However, it's unclear if validated instruments were used, though Eurobarometer is a standardized survey.",no,"The study appears to be a cross-sectional analysis of survey data (Eurobarometer), not an interventional or longitudinal observational study. This fails to meet the criterion for an interventional or longitudinal observational study design.",Exclude,"The study fails to meet key screening criteria for an intervention study, lacking a longitudinal design, intervention implementation, and sustained behavior change measurement. While examining life satisfaction and including an appropriate adult population, the cross-sectional survey design does not align with the required methodological standards for intervention research. The analysis provides insights into physical activity and life satisfaction but does not constitute an interventional study.",0.5
Kan fysisk aktivitet göra oss lyckliga,Emma Selling,-,-,-,0,2017,maybe,Elicit could not determine the population age from the available information.,maybe,Elicit could not determine if the study measured baseline activity levels and examined participants transitioning from a sedentary to more active lifestyle from the available information.,maybe,"The study appears to use European Social Survey data, suggesting a general population sample, but Elicit could not confirm.",maybe,"The study appears to examine ""fysisk aktivitet"" (physical activity), but Elicit could not determine the specific type of intervention.",maybe,Elicit could not determine the intervention duration from the available information.,maybe,Elicit could not determine the intervention frequency from the available information.,maybe,"While ""lycka"" (happiness) is mentioned, Elicit could not determine if validated instruments were used.",no,"The abstract mentions ""tvarsnittsdata"" (cross-sectional data), which suggests this is not an interventional or longitudinal study, failing criterion #1.",Exclude,"The study appears to be a cross-sectional analysis of physical activity and happiness across European countries, which immediately fails the longitudinal or interventional study design requirement. Significant language and information barriers prevent comprehensive assessment of most screening criteria, with only the study design definitively not meeting the specified requirements.",0.5
Becoming Physically Active After Bariatric Surgery is Associated With Improved Weight Loss and Health‐related Quality of Life,"D. Bond, S. Phelan, L. Wolfe, R. Evans, Jill G. Meador, J. Kellum, J. Maher, R. Wing",10.1038/oby.2008.501,https://doi.org/10.1038/oby.2008.501,Obesity,187,2009,maybe,"While not explicitly stated, given this is a bariatric surgery study, participants are very likely adults. However, there is some uncertainty as this isn't explicitly confirmed in the abstract.",yes,The study explicitly measures baseline activity levels and examines transitions from inactive to active states (Inactive/Active group).,yes,"The study includes both inactive and active individuals from the general population undergoing bariatric surgery, not elite athletes.",maybe,"The study examines physical activity levels, but it's not clear if there was a structured intervention program. The study appears to be observational of natural activity changes rather than implementing a specific physical activity intervention.",yes,"The study follows participants for 1 year, which exceeds the minimum 4-week requirement.",yes,"The study examines sustained behavior change over 1 year, not just acute effects.",yes,"The study uses the SF-36, which is a validated instrument for measuring health-related quality of life (HRQoL).",yes,"The study appears to be a longitudinal observational study, following patients from pre- to post-operative periods (1 year).",Exclude,"A longitudinal observational study examining physical activity transitions among bariatric surgery patients, measuring health-related quality of life using validated instruments over a one-year period. The research captures sustained behavior change and activity level transitions, with participants from the general population, though some uncertainty exists regarding explicit intervention structure and participant age confirmation.",3.8
Does Exercise Help People Living with HIV Improve Their Quality of Life? A meta-analysis.: 1647 Board #322 June 1 8,"Philipp Zech, M. Rapp, S. Heinzel, B. Wolfarth, Jimmy B Lawrence, A. Heissel",10.1249/01.mss.0000518177.22369.2f,https://doi.org/10.1249/01.mss.0000518177.22369.2f,-,0,2017,yes,"The study mentions ""older adults"" which implies participants are 18+, meeting the criterion for all study participants being adults (aged 18 or older).",no,The study measures activity levels (SRPA and OMPA) but does not examine transitions from sedentary to active lifestyle. This does not meet the criterion for measuring baseline activity levels and examining participants transitioning from a sedentary to more active lifestyle.,yes,"The study appears to examine a general population of older adults, not elite athletes, which meets the criterion for the study participants being from the general or sedentary population.",no,No physical activity intervention is described - the study only measures existing physical activity levels. This does not meet the criterion for examining a physical activity intervention.,no,"No intervention is described, so this criterion is not met.",no,The abstract does not describe any intervention - it's an observational study looking at correlations between existing activity levels and outcomes. This does not meet the criterion for examining sustained behavior change.,yes,"The study measured life satisfaction (SWLS) and used validated instruments (mentions SWLS, GDS, and ACER), which meets the criterion for measuring life satisfaction, wellbeing, or quality of life using validated instruments.",no,"The study design was a correlational study examining relationships between variables, not an interventional or longitudinal observational study. This does not meet the criterion for an interventional or longitudinal observational study design.",Exclude,"This correlational study of older adults fails to meet key screening criteria, particularly around intervention design and sustained behavior change. While the research examines life satisfaction and physical activity using validated instruments, it lacks an interventional approach and does not demonstrate a transition from sedentary to active lifestyle. The study's observational nature and absence of a structured intervention prevent it from meeting the required screening standards.",0.5
Physical Activity Levels and Well-Being in Older Adults,"Wonyul Bae, Young Ik Suh, J. Ryu, Jinmoo Heo",10.1177/0033294116688892,https://doi.org/10.1177/0033294116688892,Psychological Reports,50,2017,yes,"The study included adults aged 25-74, meeting the criterion of all study participants being adults (aged 18 or older).",no,"The study did not examine transitions from sedentary to active lifestyles, but rather looked at correlations between existing activity levels and outcomes. Therefore, it does not meet the criterion of measuring baseline activity levels and examining participants transitioning from a sedentary to more active lifestyle.",yes,"The study appears to include the general population, not exclusively elite athletes or highly active individuals, meeting the criterion of the study participants being from the general or sedentary population.",no,"This was not an intervention study, but rather an observational study examining existing physical activity levels. Therefore, it does not meet the criterion of examining a physical activity intervention.",no,"No intervention was described, so the criterion of an intervention duration of at least 4 weeks was not met.",no,"This was not an intervention study, but rather an observational study examining existing physical activity levels and their correlations with outcomes. Therefore, it does not meet the criterion of examining sustained behavior change.",maybe,"The study measured life satisfaction and well-being, which aligns with the criterion of measuring life satisfaction, wellbeing, or quality of life. However, the abstract did not specify if validated instruments were used.",no,"The study design was a correlational analysis of data from the National Study of Midlife, which appears to be a cross-sectional analysis rather than an interventional or longitudinal study. This does not meet the criterion for an interventional or longitudinal observational study design.",Exclude,"This observational study examining physical activity and well-being fails to meet most screening criteria, particularly those related to intervention design, activity transitions, and sustained behavior change. While the research includes an appropriate adult population and measures relevant outcomes, its cross-sectional nature and lack of intervention components disqualify it from meeting the majority of the specified screening requirements.",0.5
